region,year,urban_share_pct,agri_ha_per_capita
Asia,1991,32.57032023639476,0.3857953774718755
Asia,1992,33.36535796369464,0.46216718236098664
Asia,1993,33.85407629688007,0.45558928101875357
Asia,1994,34.35161198344508,0.45006372624030555
Asia,1995,34.85184600958422,0.44386946141351996
Asia,1996,35.34731863885917,0.43874027538526894
Asia,1997,35.83947849533152,0.4371232457621239
Asia,1998,36.33511850490799,0.4333935980602678
Asia,1999,36.83651145388898,0.4296034091088564
Asia,2000,37.34803514245695,0.4238821785536552
Asia,2001,37.971334621500255,0.41854499803491024
Asia,2002,38.6838410407107,0.4132399303649535
Asia,2003,39.40556091959222,0.4039553173668783
Asia,2004,40.1272062177213,0.3989508088272354
Asia,2005,40.84924200435735,0.38988166559407017
Asia,2006,41.547665722628686,0.3851023653121869
Asia,2007,42.23569255398396,0.37991017361808616
Asia,2008,42.92398907878599,0.3742121589312612
Asia,2009,43.60010957220044,0.36933661829979164
Asia,2010,44.27107885792467,0.3654473546422303
Asia,2011,44.88617661027638,0.3605973305962885
Asia,2012,45.477401216001404,0.35590593524844366
Asia,2013,46.071522965250125,0.35150068413118135
Asia,2014,46.67199310331791,0.3473402650423655
Asia,2015,47.28368982442313,0.34346525305662295
Asia,2016,47.89489638984809,0.3396305192540028
Asia,2017,48.50156270182775,0.3358149599946949
Asia,2018,49.11823804268915,0.33250193591760857
Asia,2019,49.73903507010618,0.32891365953821394
Asia,2020,50.371316329670734,0.32609841721338356
Asia,2021,51.041901340991615,0.32435225639035664
Asia,2022,51.70053815844944,0.32234258919554165
Asia,2023,52.32731589779424,0.31877960066025773
Asia,2024,52.94954341226987,0.31716288296108214
Asia,2025,53.557064203936065,
Europe,1961,57.15150480600187,1.207854735099476
Europe,1962,57.71291117431762,1.196538318364179
Europe,1963,58.310919333910604,1.1816502244193416
Europe,1964,58.90516312010956,1.1681036473164879
Europe,1965,59.494642612866855,1.159760616762709
Europe,1966,60.05731820006772,1.1472521813142542
Europe,1967,60.6004046925332,1.1393274286164177
Europe,1968,61.109947310860946,1.1294950705670823
Europe,1969,61.56748920883839,1.123335874304094
Europe,1970,62.07677033321899,1.1115272439035953
Europe,1971,62.56989520827263,1.1004307187601314
Europe,1972,62.995393608852844,1.0931551650584306
Europe,1973,63.42744207459061,1.0871329692245
Europe,1974,63.87215559777057,1.0807994742688474
Europe,1975,64.31167453655459,1.0693451742837439
Europe,1976,64.71916605537804,1.0646064985640151
Europe,1977,65.09431560983495,1.0592389950766774
Europe,1978,65.4673639435662,1.051727166912394
Europe,1979,65.80356833436458,1.0439829222160004
Europe,1980,66.07697369458806,1.0376680970700896
Europe,1981,66.33215639580933,1.031293547597381
Europe,1982,66.55753765765945,1.0289884074302669
Europe,1983,66.76078790801684,1.0232193713413902
