region,year,kg_per_capita,production_mt,population_m
Asia,2022,312.02842727883524,1481.40520538,4747.661033
Asia,2023,319.1031086863655,1524.6760848,4778.004486
Asia,2024,325.3505467689445,1563.92689484,4806.898007
Europe,1961,407.9320973665334,263.708561,646.4521
Europe,1962,430.43483643623614,281.304864,653.536471
Europe,1963,378.4977785556103,249.985597,660.467805
Europe,1964,444.2461968197512,296.395501,667.187481
Europe,1965,411.2093692065253,276.988177,673.594032
Europe,1966,479.9451104108038,326.237108,679.738372
Europe,1967,470.06166301606834,322.26266,685.575288
Europe,1968,497.94016373440314,344.191996,691.23164
Europe,1969,489.11644740896105,340.853217,696.875394
Europe,1970,499.799579096653,350.759619,701.800549
Europe,1971,536.3552283421777,379.089002,706.787185
Europe,1972,522.316258228714,372.088685,712.38197
Europe,1973,585.9388578087072,420.525245,717.694755
Europe,1974,565.9947711326719,409.032036,722.678118
Europe,1975,475.40432879450645,345.750625,727.276981
Europe,1976,574.5584039688853,420.475761,731.824229
Europe,1977,551.7621106169519,406.404054,736.556654
Europe,1978,626.4306718344226,464.300797,741.184648
Europe,1979,540.2148998118431,402.802078,745.63304
Europe,1980,571.110503431703,428.427277,750.165291
Europe,1981,513.6497776779203,387.547581,754.49771
Europe,1982,577.4398419718673,437.931926,758.402684
Europe,1983,564.0001799769244,429.948589,762.31995
Europe,1984,597.8482588314347,458.114323,766.271903
Europe,1985,588.0579741923716,452.952936,770.252179
Europe,1986,605.8133800032301,469.229181,774.544103
Europe,1987,590.8685567969084,460.300113,779.02286
Europe,1988,584.5667006500234,458.028765,783.535505
Europe,1989,610.0523846226359,480.61143,787.819935
Europe,1990,623.9167798162242,493.89790980000004,791.608634
Europe,1991,578.0348298942789,459.51531924,794.961299
Europe,1992,559.1209155254835,406.82530562,727.615967
Europe,1993,567.0234121530505,412.79598860000004,728.005193
Europe,1994,525.8479435479838,383.28212146,728.883941
Europe,1995,515.3104757505147,375.85710018000003,729.379894
Europe,1996,535.2006756589805,390.35884904,729.369126
Europe,1997,604.1610334088798,440.68981561000004,729.424427
Europe,1998,529.1613564581636,385.68634964999995,728.863408
Europe,1999,516.1021297549167,375.83433585,728.216983
Europe,2000,527.7659245625651,384.29989231,728.163518
Europe,2001,591.36201450099,430.6517236,728.237041
Europe,2002,598.1320363102258,436.11352519999997,729.125843
Europe,2003,497.5105575902702,363.36962723,730.375711
Europe,2004,642.3920875692629,469.7463419,731.245529
Europe,2005,583.9426966907695,427.47283067,732.045855
Europe,2006,551.3831755754285,403.9893064,732.683412
Europe,2007,536.7260050365741,393.90089644,733.89568
Europe,2008,687.0218412726833,505.33809367000003,735.548804
Europe,2009,633.8798364076275,467.12829556,736.935092
Europe,2010,549.3533480062379,405.50226061,738.144697
Europe,2011,631.282774139024,466.74434241,739.358591
Europe,2012,567.0097148246484,419.84701777,740.458244
Europe,2013,655.3232704266597,485.90267049,741.470191
Europe,2014,710.6750201715149,527.77573891,742.640059
Europe,2015,677.2841542970732,504.05956344,744.236463
Europe,2016,685.9324124155636,511.70732536,746.002545
Europe,2017,703.8267812228132,526.0603058500001,747.428657
Europe,2018,665.8782733247581,498.45271754000004,748.564321
Europe,2019,724.7112820437442,543.1737083300001,749.503591
Europe,2020,701.4288431993256,525.73741348,749.523517
Europe,2021,733.6728754929721,549.23704207,748.612986
Europe,2022,701.6776540043721,524.12800749,746.964086
Europe,2023,689.1719676903016,513.8482586499999,745.602379
Europe,2024,638.5831798534083,475.79768085,745.083328
Oceania,1961,589.8533575366399,9.565367,16.216517
Oceania,1962,695.4609577221482,11.517241,16.560586
Oceania,1963,723.0096637213331,12.221939,16.904254
Oceania,1964,781.3110390827477,13.480986,17.254314
Oceania,1965,575.1739185421608,10.132763,17.616868
Oceania,1966,949.7834781538281,17.082534,17.985714
Oceania,1967,569.1150731881744,10.432935,18.331855
