area,region,score,n_indicators,pou_pct,stunting_pct,cereal_import_dep_pct,unaffordable_pct,agrifood_t_per_cap,obesity_pct,cereal_yield_t_ha,des_adequacy_pct
Rwanda,Africa,-0.2939108506659428,8,22.6,29.8,35.3,69.7,0.5845178581115686,5.6,1.784,109.0
Sudan,Africa,-0.2972069854565758,6,10.9,35.4,,,1.9261839452559708,17.8,0.5802999999999999,118.0
Libya,Africa,-0.3132375987024982,7,18.7,9.2,100.0,,1.8629256032891761,33.7,0.6597000000000001,116.0
Sierra Leone,Africa,-0.3170897788551269,8,25.3,25.2,28.2,61.9,1.0032538810889933,8.2,1.3702999999999999,106.0
Guinea-Bissau,Africa,-0.3253010985093855,8,20.0,28.3,50.7,66.4,1.36987882539628,12.7,1.3334000000000001,114.0
United Republic of Tanzania,Africa,-0.3305519708914729,8,19.1,29.9,1.8,73.0,2.443926737625486,11.5,1.8720999999999999,115.0
Pakistan,Asia,-0.3337171197866104,8,16.1,33.6,-9.9,63.0,1.1871383228817725,24.5,3.6206,113.0
Namibia,Africa,-0.3388420258742282,8,20.1,16.4,78.7,47.9,3.1406224235132525,18.3,0.1844,109.0
Belize,Americas,-0.3424950536485396,8,4.4,11.7,13.2,17.8,13.493744922234168,43.4,3.698,122.0
Timor-Leste,Asia,-0.367629887342689,7,16.9,45.4,47.7,,1.341925006826624,3.6,2.1121999999999996,101.0
Guatemala,Americas,-0.37657408547729176,8,12.7,44.6,54.7,47.3,1.8865346824065408,28.0,2.2375,127.0
Suriname,Americas,-0.37706721338916094,8,12.7,8.0,-4.3,23.7,22.26980024996581,30.8,4.4474,106.0
Bolivia (Plurinational State of),Americas,-0.387222379190865,8,19.5,10.7,11.0,10.5,9.393527289216026,29.7,2.209,102.0
Eswatini,Africa,-0.4280786012554908,8,15.1,18.9,67.5,68.1,1.833557414592046,29.6,1.0831,111.0
Niger,Africa,-0.4294008783067401,8,12.9,48.3,24.3,85.8,1.6022081113791593,6.8,0.5774,123.0
Malawi,Africa,-0.4350545348541214,8,24.5,33.2,1.9,92.7,0.9812442920892349,8.0,1.8775,114.0
Trinidad and Tobago,Americas,-0.4490912893424013,8,10.4,7.8,100.0,32.0,13.991262146258116,30.9,0.9757,122.0
Congo,Africa,-0.4568531560109804,8,25.0,16.3,88.7,77.3,1.177788022905165,12.2,0.8737,99.0
Nigeria,Africa,-0.47535807425522614,8,22.2,33.8,16.3,80.5,0.775898477176517,13.7,1.558,109.0
Botswana,Africa,-0.49645884681449776,8,18.2,21.0,82.7,59.9,6.746048211385655,19.8,0.9004,115.0
Democratic People's Republic of Korea,Asia,-0.5282368931452625,7,47.0,16.6,19.0,,0.38342799911757813,12.0,3.6098000000000003,84.0
Kenya,Africa,-0.5529805799457744,8,34.9,17.9,49.5,76.3,1.1232803963468658,11.3,1.6930999999999998,94.0
Afghanistan,Asia,-0.5689928125334773,7,27.8,42.0,46.1,,0.546407128001534,20.6,2.3586,108.0
Solomon Islands,Oceania,-0.5783437322438171,7,27.0,29.8,100.0,,0.9618964881469491,21.8,1.8662999999999998,100.0
Angola,Africa,-0.5875261889329534,8,17.4,47.7,35.7,72.9,2.281792579278979,12.7,1.1065999999999998,111.0
Mozambique,Africa,-0.6776884851907073,8,22.3,37.0,47.3,91.3,2.049825156175859,10.6,0.7764,102.0
South Sudan,Africa,-0.6881117686385575,7,19.1,30.0,,93.9,5.281538074088678,8.9,0.945,108.0
Chad,Africa,-0.7631256824709389,8,33.6,31.5,8.9,66.6,6.1783084315057915,7.4,0.8269,96.0
Liberia,Africa,-0.811612077200303,8,37.3,26.9,72.3,59.6,4.415295635506153,17.8,1.1117000000000001,95.0
Syrian Arab Republic,Asia,-0.83407859660605,8,40.8,23.5,49.8,61.1,0.7422963104771796,33.0,1.6068,94.0
Zambia,Africa,-0.8424648199408864,8,41.0,32.3,-9.7,86.2,3.1341029190118785,11.6,2.3183000000000002,93.0
Madagascar,Africa,-0.8459742886390591,8,41.8,38.4,19.9,85.3,2.1477260913378067,4.5,2.3933,89.0
Haiti,Americas,-0.8910419756910022,8,51.4,21.6,82.9,88.9,1.0369344762463224,11.1,1.0644,84.0
Papua New Guinea,Oceania,-0.8998365498857834,7,30.5,47.6,95.2,,2.707084714718082,28.0,4.7871999999999995,96.0
Democratic Republic of the Congo,Africa,-0.9166563535776531,8,39.5,44.1,24.8,90.1,2.058353131647532,6.7,0.8717999999999999,97.0
Somalia,Africa,-1.0214003757814079,6,56.5,23.9,,,1.7351465946641398,14.9,0.36210000000000003,80.0
Central African Republic,Africa,-1.0412473987278532,7,29.8,38.9,19.6,87.6,10.977559772386613,10.9,0.7884,
