area_code,area,region,cluster,cluster_name,pc1,pc2,cereal_yield_t_ha,n_kg_per_ha,cereal_kg_per_cap,cereal_import_dep_pct,pou_pct,obesity_pct,agrifood_t_per_cap,urban_share,log_gdp_cap,forest_share,cropland_share,unaffordable_pct
101,Indonesia,Asia,0,high diet unaffordable · low log gdp per head,-0.6176488638098718,-0.12465033875087723,5.421399999999999,68.22,240.86259601647734,15.7,6.3,11.8,2.9351073140858848,0.5897141314280501,9.57983281962553,0.5066968306711109,0.23120680871445357,70.6
102,Iran (Islamic Republic of),Asia,1,low diet unaffordable · high urban share,0.2728889832228154,0.6215414016826409,2.7248,51.35,267.6853795383697,40.6,6.7,24.6,1.74163578562047,0.731354289870085,9.769041455983205,0.06626194144838213,0.10841294298921418,35.7
103,Iraq,Asia,1,low diet unaffordable · high urban share,0.20469656502179442,1.1744914887472087,2.651,31.36,140.12248942623384,63.0,13.4,39.7,0.714581421340692,0.7183413888379995,9.451323841418724,0.016104623039181813,0.12468223803929698,27.1
104,Ireland,Europe,1,low diet unaffordable · high urban share,2.8256954040816056,0.5028609490034003,7.3247,164.5,360.9084423513758,65.8,,27.9,7.7583789686777775,0.6199517527726361,11.68719804885051,0.11974742342865438,0.06299898388735665,1.2
105,Israel,Asia,1,low diet unaffordable · high urban share,1.0659045545045638,1.2330234937792546,2.6194,89.82,18.650928766431864,93.7,,22.2,2.0271802685172524,0.9131593505543452,10.765089759059482,0.06839186691312385,0.1628003696857671,22.7
106,Italy,Europe,1,low diet unaffordable · high urban share,0.8796051655983133,0.31483007524326145,4.9818,57.92,238.2079045827024,42.5,,14.0,1.738272814037467,0.7154210126045983,10.883034734045298,0.31818848911132147,0.3161003652103341,8.5
107,Côte d'Ivoire,Africa,0,high diet unaffordable · low log gdp per head,-1.778650646530732,0.06069420861194068,2.5416,4.25,130.5200720355556,52.1,11.4,12.8,1.6927069683825664,0.48512968685952346,8.816853240627426,0.12122484276729559,0.4235349056603774,48.7
108,Kazakhstan,Asia,3,high cereal per head · high agrifood co2e per head,1.0434286880880008,-1.3138335427203036,1.5295,2.29,1192.9519723399278,-59.4,2.5,21.1,2.5642081270218786,0.5516715227059312,10.490551734287916,0.012988887654183798,0.11368522428417972,4.0
109,Jamaica,Americas,1,low diet unaffordable · high urban share,-0.2286373792491465,0.6391352968093732,1.3422,19.54,0.8386238960261344,99.3,8.0,35.2,1.1307533736697062,0.596459182685111,9.336091577281744,0.5654847645429363,0.17903970452446907,27.1
110,Japan,Asia,1,low diet unaffordable · high urban share,0.9343612989585592,0.5212745863993568,6.2477,39.36,92.10062401618075,76.8,,5.9,1.278785002738622,0.9291025018124605,10.738720061275421,0.6834074074074075,0.11720164609053497,13.3
112,Jordan,Asia,1,low diet unaffordable · high urban share,0.6109044751403419,1.534919977677619,1.6114000000000002,56.28,7.271913937274147,100.0,12.2,35.4,0.8129301202801277,0.8411318532285813,9.161150127785412,0.007962249701556411,0.03209676329481722,2.3
113,Kyrgyzstan,Asia,1,low diet unaffordable · high urban share,-0.6051612724480199,0.353395094730217,3.4894000000000003,16.93,296.91084439220714,27.4,4.8,22.0,1.1058856868352316,0.35081920993975935,8.860641041773876,0.0654546402502607,0.07105370177267988,24.4
114,Kenya,Africa,0,high diet unaffordable · low log gdp per head,-3.3125559674258134,0.32734837730757,1.6930999999999998,21.29,88.21123898834695,49.5,34.9,11.3,1.1232803963468658,0.3126783887085529,8.67334187390617,0.06626738741220217,0.1336995592893541,76.4
115,Cambodia,Asia,0,high diet unaffordable · low log gdp per head,-0.6910379286781788,-1.7802525063477335,3.778,44.93,883.2799916502261,-3.2,4.7,4.9,5.98100881663556,0.25976504865608496,8.854950316500325,0.37626897801948783,0.2617516428733288,
116,Democratic People's Republic of Korea,Asia,0,high diet unaffordable · low log gdp per head,-1.941708768743166,-0.10904325085050416,3.6098000000000003,1.14,184.3652214288914,19.0,47.0,12.0,0.38342799911757813,0.6292341361727651,,0.6408579021675941,0.2115729590565568,
117,Republic of Korea,Asia,1,low diet unaffordable · high urban share,1.7083422494561897,0.7279362828459045,6.5443999999999996,135.16,96.37631548569838,78.5,2.5,8.4,1.8884195419718344,0.820897609498045,10.91637854079876,0.6437397540983606,0.15420081967213115,5.5
118,Kuwait,Asia,2,high n per ha · high cereal yield,3.828485997101946,3.0463997863457366,14.196,315.79,7.146805141830785,99.4,,40.4,2.548804141207436,0.9210046717939604,10.739370510108033,0.003535353535353535,0.007856341189674524,
119,Latvia,Europe,3,high cereal per head · high agrifood co2e per head,1.9663443702416148,-2.7519656754995383,3.9738,60.35,1684.0904100763355,-140.7,2.5,22.3,5.273203087979363,0.671772253536702,10.535078427396968,0.5560645990679737,0.21950827575124537,17.3
120,Lao People's Democratic Republic,Asia,0,high diet unaffordable · low log gdp per head,-0.8363788896118429,-0.9878072267406316,4.1964,64.42,549.0526870703166,-0.3,10.0,9.2,4.7844082310316525,0.3775734029325522,9.0595174822416,0.566350519930676,0.06924913344887348,51.9
121,Lebanon,Asia,1,low diet unaffordable · high urban share,-0.019663736943100047,1.1856024380382577,2.661,66.83,20.63915850637672,86.6,11.1,30.7,1.0965427688229639,0.8781836670649928,9.335209354022052,0.13804496578690126,0.24565004887585534,45.6
122,Lesotho,Africa,0,high diet unaffordable · low log gdp per head,-2.5893215405770755,0.5465538387225526,0.6035,3.61,28.889443630870407,68.4,,22.2,0.7769683560951636,0.32224847620648894,7.878534196140362,0.011370223978919632,0.19202898550724637,77.1
123,Liberia,Africa,0,high diet unaffordable · low log gdp per head,-3.051173230204775,-0.3742865003759601,1.1117000000000001,3.0,57.43996285644089,72.3,37.3,17.8,4.415295635506153,0.5426166575535957,7.406103381237015,0.6610361295681063,0.07400851328903654,62.1
124,Libya,Africa,1,low diet unaffordable · high urban share,-0.3287707314109824,1.1491511726103525,0.6597000000000001,6.68,22.327548633841136,100.0,18.7,33.7,1.8629256032891761,0.772775128867638,9.440181444738114,0.0011688282164656672,0.011650772360957977,
126,Lithuania,Europe,3,high cereal per head · high agrifood co2e per head,2.088114557809143,-3.5229972861310577,4.3873999999999995,53.61,1996.352011639986,-180.4,,21.3,7.5562721545398395,0.6753821993557436,10.761407371083953,0.3536523406294936,0.3721041699952069,13.3
129,Madagascar,Africa,0,high diet unaffordable · low log gdp per head,-4.137975957348685,-0.15154734098494319,2.3933,2.68,163.8477825528682,19.9,41.8,4.5,2.1477260913378067,0.39616194059519433,7.4127640174265625,0.17267720866277073,0.06255723616363011,85.3
130,Malawi,Africa,0,high diet unaffordable · low log gdp per head,-4.127060403577448,-0.43218178234930554,1.8775,22.43,151.4394785642637,1.9,24.5,8.0,0.9812442920892349,0.1945545766516314,7.3987862754199485,0.21995120916419175,0.45419919389053875,92.1
131,Malaysia,Asia,1,low diet unaffordable · high urban share,1.2814212888406655,0.2631181758028261,3.5436,55.91,59.17927278312054,78.1,2.7,23.3,4.075727054983136,0.769464835339478,10.437521761439,0.5766166489118856,0.2393766549992391,1.6
132,Maldives,Asia,1,low diet unaffordable · high urban share,-0.2917330750993411,0.8789207837190133,2.4415999999999998,29.8,0.3881591287592436,97.3,,17.9,0.5879112689498359,0.38913108967618354,10.044726664228852,0.12483221476510067,0.1644295302013423,4.7
133,Mali,Africa,0,high diet unaffordable · low log gdp per head,-1.9966025635386668,-0.3932054860478731,1.6562999999999999,4.25,426.5073657209493,6.5,12.1,13.3,2.777653798559787,0.4372706440055077,7.977968093128549,0.08670616871143018,0.057664298183069854,61.4
134,Malta,Europe,1,low diet unaffordable · high urban share,1.5014553595743125,1.5105004226961134,4.879899999999999,73.07,0.0,100.0,,30.6,1.357979270333761,0.7717876158018706,11.046116726621012,0.014913533238140568,0.254481992701888,4.5
136,Mauritania,Africa,0,high diet unaffordable · low log gdp per head,-1.0862473977713272,0.5989245807040954,1.5374,4.06,110.30820434499589,55.3,11.0,24.1,2.500916586177916,0.5979763589356202,8.776938645174996,0.009862229552731154,0.004462986319976715,51.7
137,Mauritius,Africa,1,low diet unaffordable · high urban share,0.8086612295675034,1.341986655228231,11.8902,78.45,1.0139485780411575,90.9,4.9,21.1,1.4211931959157906,0.4128931715609805,10.240352569152035,0.19145,0.3736,19.1
138,Mexico,Americas,1,low diet unaffordable · high urban share,1.470189742027033,0.7152377950685749,3.7517,55.98,249.4406242800806,37.6,3.1,37.4,1.8738236757476943,0.874189994579516,10.00061426326685,0.34153841405385943,0.12548531443709973,20.1
141,Mongolia,Asia,1,low diet unaffordable · high urban share,1.0235969903358988,-1.2306338869163396,1.2506,44.99,127.50631268810027,39.3,2.5,25.1,17.464063944157402,0.6709414939836688,9.731690419198387,0.0909741565838072,0.0072413178529644505,31.5
143,Morocco,Africa,1,low diet unaffordable · high urban share,-0.3037496340874625,0.5918310498271997,1.2401,17.72,84.17232210783003,64.6,6.5,21.6,1.2404298309009174,0.667360824205704,9.122928914965213,0.12760542236164016,0.20165807752632758,13.1
144,Mozambique,Africa,0,high diet unaffordable · low log gdp per head,-3.5386925230085544,-0.16945900668745473,0.7764,11.41,76.69441402439598,47.3,22.3,10.6,2.049825156175859,0.41007851000148243,7.313220387090301,0.41341247234161604,0.11014293344184746,90.7
145,Micronesia (Federated States of),Oceania,1,low diet unaffordable · high urban share,-0.7869765507294801,0.4490571771100635,1.7157,3.33,2.5610639802050192,100.0,,48.6,0.7743221166651868,0.23167196889360198,8.249052274171293,0.9206847360912983,0.034236804564907276,
146,Republic of Moldova,Europe,1,low diet unaffordable · high urban share,0.11032039323650694,-0.44989086338491,2.4061999999999997,27.51,701.7761348498384,100.0,2.7,22.3,1.9027637452030763,0.5689157125907055,9.703633190449867,0.11262678408745824,0.63164287883389,12.5
147,Namibia,Africa,0,high diet unaffordable · low log gdp per head,-1.4931231564234624,0.49684718279362816,0.1844,25.55,20.206717135331772,78.7,20.1,18.3,3.1406224235132525,0.5368097946920447,9.238052810542719,0.09770068870021499,0.009862867276415358,47.8
149,Nepal,Asia,0,high diet unaffordable · low log gdp per head,-1.1311861246551533,-0.39025604368553257,3.521,41.05,388.69130925328994,17.3,5.2,8.0,1.0423128921628684,0.23771259530942812,8.526549286340263,0.43597279386117893,0.13594698290896406,20.0
150,Netherlands (Kingdom of the),Europe,1,low diet unaffordable · high urban share,1.7132700082669736,1.0667650282234298,6.8057,95.69,57.30949508199743,90.3,,14.7,3.1072191309515462,0.8905370430938131,11.163353804302597,0.10955746955746956,0.30828630828630826,1.1
154,North Macedonia,Europe,1,low diet unaffordable · high urban share,0.9052730962198652,0.23376468790848212,3.5654,45.76,291.89852600837406,25.5,2.6,26.8,1.8361204431483313,0.6860942540601829,10.094231871403661,0.4081443298969072,0.17724028548770818,16.1
